id,id_1,asset,year,rep_period,time_block_start,time_block_end,dual_sd_ramp_vars_flow_diff
154,154,AT_Nuclear,2030,6,13,16,0.0
155,155,AT_Nuclear,2030,6,17,20,0.0
156,156,AT_Nuclear,2030,6,21,24,0.0
157,157,AT_Nuclear,2030,7,1,4,0.0
158,158,AT_Nuclear,2030,7,5,8,0.0
159,159,AT_Nuclear,2030,7,9,12,0.0
160,160,AT_Nuclear,2030,7,13,16,0.0
161,161,AT_Nuclear,2030,7,17,20,0.0
162,162,AT_Nuclear,2030,7,21,24,0.0
163,163,AT_Nuclear,2030,8,1,4,0.0
164,164,AT_Nuclear,2030,8,5,8,0.0
165,165,AT_Nuclear,2030,8,9,12,0.0
166,166,AT_Nuclear,2030,8,13,16,0.0
167,167,AT_Nuclear,2030,8,17,20,0.0
168,168,AT_Nuclear,2030,8,21,24,0.0
169,169,AT_Nuclear,2030,9,1,4,0.0
170,170,AT_Nuclear,2030,9,5,8,0.0
171,171,AT_Nuclear,2030,9,9,12,0.0
172,172,AT_Nuclear,2030,9,13,16,0.0
173,173,AT_Nuclear,2030,9,17,20,0.0
174,174,AT_Nuclear,2030,9,21,24,0.0
175,175,AT_Nuclear,2030,10,1,4,0.0
176,176,AT_Nuclear,2030,10,5,8,0.0
177,177,AT_Nuclear,2030,10,9,12,0.0
178,178,AT_Nuclear,2030,10,13,16,0.0
179,179,AT_Nuclear,2030,10,17,20,0.0
180,180,AT_Nuclear,2030,10,21,24,0.0
181,181,AT_OCGT,2030,1,1,4,0.0
182,182,AT_OCGT,2030,1,5,8,0.0
183,183,AT_OCGT,2030,1,9,12,0.0
184,184,AT_OCGT,2030,1,13,16,0.0
185,185,AT_OCGT,2030,1,17,20,0.0
186,186,AT_OCGT,2030,1,21,24,0.0
187,187,AT_OCGT,2030,2,1,4,0.0
188,188,AT_OCGT,2030,2,5,8,0.0
189,189,AT_OCGT,2030,2,9,12,0.0
190,190,AT_OCGT,2030,2,13,16,0.0
191,191,AT_OCGT,2030,2,17,20,0.0
192,192,AT_OCGT,2030,2,21,24,0.0
193,193,AT_OCGT,2030,3,1,4,0.0
194,194,AT_OCGT,2030,3,5,8,0.0
195,195,AT_OCGT,2030,3,9,12,0.0
196,196,AT_OCGT,2030,3,13,16,0.0
197,197,AT_OCGT,2030,3,17,20,0.0
198,198,AT_OCGT,2030,3,21,24,0.0
199,199,AT_OCGT,2030,4,1,4,0.0
200,200,AT_OCGT,2030,4,5,8,0.0
201,201,AT_OCGT,2030,4,9,12,0.0
202,202,AT_OCGT,2030,4,13,16,0.0
203,203,AT_OCGT,2030,4,17,20,0.0
204,204,AT_OCGT,2030,4,21,24,0.0
205,205,AT_OCGT,2030,5,1,4,0.0
206,206,AT_OCGT,2030,5,5,8,0.0
207,207,AT_OCGT,2030,5,9,12,0.0
208,208,AT_OCGT,2030,5,13,16,0.0
209,209,AT_OCGT,2030,5,17,20,0.0
210,210,AT_OCGT,2030,5,21,24,0.0
211,211,AT_OCGT,2030,6,1,4,0.0
212,212,AT_OCGT,2030,6,5,8,0.0
213,213,AT_OCGT,2030,6,9,12,0.0
214,214,AT_OCGT,2030,6,13,16,0.0
215,215,AT_OCGT,2030,6,17,20,0.0
216,216,AT_OCGT,2030,6,21,24,0.0
217,217,AT_OCGT,2030,7,1,4,0.0
218,218,AT_OCGT,2030,7,5,8,0.0
219,219,AT_OCGT,2030,7,9,12,0.0
220,220,AT_OCGT,2030,7,13,16,0.0
221,221,AT_OCGT,2030,7,17,20,0.0
222,222,AT_OCGT,2030,7,21,24,0.0
223,223,AT_OCGT,2030,8,1,4,0.0
224,224,AT_OCGT,2030,8,5,8,0.0
225,225,AT_OCGT,2030,8,9,12,0.0
226,226,AT_OCGT,2030,8,13,16,0.0
227,227,AT_OCGT,2030,8,17,20,0.0
228,228,AT_OCGT,2030,8,21,24,0.0
229,229,AT_OCGT,2030,9,1,4,0.0
230,230,AT_OCGT,2030,9,5,8,0.0
231,231,AT_OCGT,2030,9,9,12,0.0
232,232,AT_OCGT,2030,9,13,16,0.0
233,233,AT_OCGT,2030,9,17,20,0.0
234,234,AT_OCGT,2030,9,21,24,0.0
235,235,AT_OCGT,2030,10,1,4,0.0
236,236,AT_OCGT,2030,10,5,8,0.0
237,237,AT_OCGT,2030,10,9,12,0.0
238,238,AT_OCGT,2030,10,13,16,0.0
239,239,AT_OCGT,2030,10,17,20,0.0
240,240,AT_OCGT,2030,10,21,24,0.0
241,241,BE_CCGT,2030,1,1,4,0.0
242,242,BE_CCGT,2030,1,5,8,0.0
243,243,BE_CCGT,2030,1,9,12,0.0
244,244,BE_CCGT,2030,1,13,16,0.0
245,245,BE_CCGT,2030,1,17,20,0.0
246,246,BE_CCGT,2030,1,21,24,0.0
247,247,BE_CCGT,2030,2,1,4,0.0
248,248,BE_CCGT,2030,2,5,8,0.0
249,249,BE_CCGT,2030,2,9,12,0.0
250,250,BE_CCGT,2030,2,13,16,0.0
251,251,BE_CCGT,2030,2,17,20,0.0
252,252,BE_CCGT,2030,2,21,24,0.0
253,253,BE_CCGT,2030,3,1,4,0.0
254,254,BE_CCGT,2030,3,5,8,0.0
255,255,BE_CCGT,2030,3,9,12,0.0
256,256,BE_CCGT,2030,3,13,16,0.0
257,257,BE_CCGT,2030,3,17,20,0.0
258,258,BE_CCGT,2030,3,21,24,0.0
259,259,BE_CCGT,2030,4,1,4,0.0
260,260,BE_CCGT,2030,4,5,8,0.0
261,261,BE_CCGT,2030,4,9,12,0.0
262,262,BE_CCGT,2030,4,13,16,0.0
263,263,BE_CCGT,2030,4,17,20,0.0
264,264,BE_CCGT,2030,4,21,24,0.0
265,265,BE_CCGT,2030,5,1,4,0.0
266,266,BE_CCGT,2030,5,5,8,0.0
267,267,BE_CCGT,2030,5,9,12,0.0
268,268,BE_CCGT,2030,5,13,16,0.0
269,269,BE_CCGT,2030,5,17,20,0.0
270,270,BE_CCGT,2030,5,21,24,0.0
271,271,BE_CCGT,2030,6,1,4,0.0
272,272,BE_CCGT,2030,6,5,8,0.0
273,273,BE_CCGT,2030,6,9,12,0.0
274,274,BE_CCGT,2030,6,13,16,0.0
275,275,BE_CCGT,2030,6,17,20,0.0
276,276,BE_CCGT,2030,6,21,24,0.0
277,277,BE_CCGT,2030,7,1,4,0.0
278,278,BE_CCGT,2030,7,5,8,0.0
279,279,BE_CCGT,2030,7,9,12,0.0
280,280,BE_CCGT,2030,7,13,16,0.0
281,281,BE_CCGT,2030,7,17,20,0.0
282,282,BE_CCGT,2030,7,21,24,0.0
283,283,BE_CCGT,2030,8,1,4,0.0
284,284,BE_CCGT,2030,8,5,8,0.0
285,285,BE_CCGT,2030,8,9,12,0.0
286,286,BE_CCGT,2030,8,13,16,0.0
287,287,BE_CCGT,2030,8,17,20,0.0
288,288,BE_CCGT,2030,8,21,24,0.0
289,289,BE_CCGT,2030,9,1,4,0.0
290,290,BE_CCGT,2030,9,5,8,0.0
291,291,BE_CCGT,2030,9,9,12,0.0
292,292,BE_CCGT,2030,9,13,16,0.0
293,293,BE_CCGT,2030,9,17,20,0.0
294,294,BE_CCGT,2030,9,21,24,0.0
295,295,BE_CCGT,2030,10,1,4,0.0
296,296,BE_CCGT,2030,10,5,8,0.0
297,297,BE_CCGT,2030,10,9,12,0.0
298,298,BE_CCGT,2030,10,13,16,0.0
299,299,BE_CCGT,2030,10,17,20,0.0
300,300,BE_CCGT,2030,10,21,24,0.0
301,301,BE_Coal,2030,1,1,4,0.0
302,302,BE_Coal,2030,1,5,8,0.0
303,303,BE_Coal,2030,1,9,12,0.0
304,304,BE_Coal,2030,1,13,16,0.0
305,305,BE_Coal,2030,1,17,20,0.0
306,306,BE_Coal,2030,1,21,24,0.0
307,307,BE_Coal,2030,2,1,4,0.0
308,308,BE_Coal,2030,2,5,8,0.0
309,309,BE_Coal,2030,2,9,12,0.0
310,310,BE_Coal,2030,2,13,16,0.0
311,311,BE_Coal,2030,2,17,20,0.0
312,312,BE_Coal,2030,2,21,24,0.0
313,313,BE_Coal,2030,3,1,4,0.0
314,314,BE_Coal,2030,3,5,8,0.0
315,315,BE_Coal,2030,3,9,12,0.0
316,316,BE_Coal,2030,3,13,16,0.0
