id,asset,year,rep_period,time_block_start,time_block_end,dual_start_up_upper_bound
460,BE_OCGT,2030,7,13,16,0.0
461,BE_OCGT,2030,7,17,20,0.0
462,BE_OCGT,2030,7,21,24,0.0
463,BE_OCGT,2030,8,1,4,0.0
464,BE_OCGT,2030,8,5,8,0.0
465,BE_OCGT,2030,8,9,12,0.0
466,BE_OCGT,2030,8,13,16,0.0
467,BE_OCGT,2030,8,17,20,0.0
468,BE_OCGT,2030,8,21,24,0.0
469,BE_OCGT,2030,9,1,4,0.0
470,BE_OCGT,2030,9,5,8,0.0
471,BE_OCGT,2030,9,9,12,0.0
472,BE_OCGT,2030,9,13,16,0.0
473,BE_OCGT,2030,9,17,20,0.0
474,BE_OCGT,2030,9,21,24,0.0
475,BE_OCGT,2030,10,1,4,0.0
476,BE_OCGT,2030,10,5,8,0.0
477,BE_OCGT,2030,10,9,12,0.0
478,BE_OCGT,2030,10,13,16,0.0
479,BE_OCGT,2030,10,17,20,0.0
480,BE_OCGT,2030,10,21,24,0.0
481,CH_CCGT,2030,1,1,4,0.0
482,CH_CCGT,2030,1,5,8,0.0
483,CH_CCGT,2030,1,9,12,0.0
484,CH_CCGT,2030,1,13,16,0.0
485,CH_CCGT,2030,1,17,20,0.0
486,CH_CCGT,2030,1,21,24,0.0
487,CH_CCGT,2030,2,1,4,0.0
488,CH_CCGT,2030,2,5,8,0.0
489,CH_CCGT,2030,2,9,12,0.0
490,CH_CCGT,2030,2,13,16,0.0
491,CH_CCGT,2030,2,17,20,0.0
492,CH_CCGT,2030,2,21,24,0.0
493,CH_CCGT,2030,3,1,4,0.0
494,CH_CCGT,2030,3,5,8,0.0
495,CH_CCGT,2030,3,9,12,0.0
496,CH_CCGT,2030,3,13,16,0.0
497,CH_CCGT,2030,3,17,20,0.0
498,CH_CCGT,2030,3,21,24,0.0
499,CH_CCGT,2030,4,1,4,0.0
500,CH_CCGT,2030,4,5,8,0.0
501,CH_CCGT,2030,4,9,12,0.0
502,CH_CCGT,2030,4,13,16,0.0
503,CH_CCGT,2030,4,17,20,0.0
504,CH_CCGT,2030,4,21,24,0.0
505,CH_CCGT,2030,5,1,4,0.0
506,CH_CCGT,2030,5,5,8,0.0
507,CH_CCGT,2030,5,9,12,0.0
508,CH_CCGT,2030,5,13,16,0.0
509,CH_CCGT,2030,5,17,20,0.0
510,CH_CCGT,2030,5,21,24,0.0
511,CH_CCGT,2030,6,1,4,0.0
512,CH_CCGT,2030,6,5,8,0.0
513,CH_CCGT,2030,6,9,12,0.0
514,CH_CCGT,2030,6,13,16,0.0
515,CH_CCGT,2030,6,17,20,0.0
516,CH_CCGT,2030,6,21,24,0.0
517,CH_CCGT,2030,7,1,4,0.0
518,CH_CCGT,2030,7,5,8,0.0
519,CH_CCGT,2030,7,9,12,0.0
520,CH_CCGT,2030,7,13,16,0.0
521,CH_CCGT,2030,7,17,20,0.0
522,CH_CCGT,2030,7,21,24,0.0
523,CH_CCGT,2030,8,1,4,0.0
524,CH_CCGT,2030,8,5,8,0.0
525,CH_CCGT,2030,8,9,12,0.0
