id,asset,year,rep_period,time_block_start,time_block_end,dual_max_output_flows_limit_simple_method
743,AT_Wind_Offshore,2030,2,21,22,0.0
744,AT_Wind_Offshore,2030,2,23,24,0.0
745,AT_Wind_Offshore,2030,3,1,2,-0.9047999999999999
746,AT_Wind_Offshore,2030,3,3,4,-0.9047999999999999
747,AT_Wind_Offshore,2030,3,5,6,-0.9047999999999999
748,AT_Wind_Offshore,2030,3,7,8,-1.7922000000000002
749,AT_Wind_Offshore,2030,3,9,10,-1.7922000000000002
750,AT_Wind_Offshore,2030,3,11,12,-0.9047999999999999
751,AT_Wind_Offshore,2030,3,13,14,-1.7922000000000002
752,AT_Wind_Offshore,2030,3,15,16,-1.7922000000000002
753,AT_Wind_Offshore,2030,3,17,18,-15.435731411332672
754,AT_Wind_Offshore,2030,3,19,20,-15.435731411332672
755,AT_Wind_Offshore,2030,3,21,22,-2.8362
756,AT_Wind_Offshore,2030,3,23,24,-2.8362
757,AT_Wind_Offshore,2030,4,1,2,-0.7176
758,AT_Wind_Offshore,2030,4,3,4,-0.7176
759,AT_Wind_Offshore,2030,4,5,6,-0.7176
760,AT_Wind_Offshore,2030,4,7,8,-0.7176
761,AT_Wind_Offshore,2030,4,9,10,-0.7176
762,AT_Wind_Offshore,2030,4,11,12,-0.7176
763,AT_Wind_Offshore,2030,4,13,14,-0.7176
764,AT_Wind_Offshore,2030,4,15,16,-0.7176
765,AT_Wind_Offshore,2030,4,17,18,-0.7176
766,AT_Wind_Offshore,2030,4,19,20,-0.7176
767,AT_Wind_Offshore,2030,4,21,22,-0.7176
768,AT_Wind_Offshore,2030,4,23,24,-0.7176
769,AT_Wind_Offshore,2030,5,1,2,0.0
770,AT_Wind_Offshore,2030,5,3,4,0.0
771,AT_Wind_Offshore,2030,5,5,6,0.0
772,AT_Wind_Offshore,2030,5,7,8,0.0
773,AT_Wind_Offshore,2030,5,9,10,0.0
774,AT_Wind_Offshore,2030,5,11,12,0.0
775,AT_Wind_Offshore,2030,5,13,14,0.0
776,AT_Wind_Offshore,2030,5,15,16,0.0
777,AT_Wind_Offshore,2030,5,17,18,0.0
778,AT_Wind_Offshore,2030,5,19,20,0.0
779,AT_Wind_Offshore,2030,5,21,22,0.0
780,AT_Wind_Offshore,2030,5,23,24,0.0
781,AT_Wind_Offshore,2030,6,1,2,-0.5616
782,AT_Wind_Offshore,2030,6,3,4,0.0
783,AT_Wind_Offshore,2030,6,5,6,-0.5616
784,AT_Wind_Offshore,2030,6,7,8,-0.5616
785,AT_Wind_Offshore,2030,6,9,10,-0.5616
786,AT_Wind_Offshore,2030,6,11,12,-0.5616
787,AT_Wind_Offshore,2030,6,13,14,-0.5616
788,AT_Wind_Offshore,2030,6,15,16,-0.5616
789,AT_Wind_Offshore,2030,6,17,18,-0.5616
790,AT_Wind_Offshore,2030,6,19,20,-0.5616
791,AT_Wind_Offshore,2030,6,21,22,-0.5616
792,AT_Wind_Offshore,2030,6,23,24,-0.5616
793,AT_Wind_Offshore,2030,7,1,2,-1.1544
794,AT_Wind_Offshore,2030,7,3,4,-1.1544
795,AT_Wind_Offshore,2030,7,5,6,-1.1544
796,AT_Wind_Offshore,2030,7,7,8,-1.1544
797,AT_Wind_Offshore,2030,7,9,10,-2.2866
798,AT_Wind_Offshore,2030,7,11,12,-1.1544
799,AT_Wind_Offshore,2030,7,13,14,-1.1544
800,AT_Wind_Offshore,2030,7,15,16,-1.1544
801,AT_Wind_Offshore,2030,7,17,18,-2.2866
802,AT_Wind_Offshore,2030,7,19,20,-3.6186
803,AT_Wind_Offshore,2030,7,21,22,-1.1544
804,AT_Wind_Offshore,2030,7,23,24,-1.1544
805,AT_Wind_Offshore,2030,8,1,2,-0.9672
806,AT_Wind_Offshore,2030,8,3,4,-0.9672
807,AT_Wind_Offshore,2030,8,5,6,-0.9672
808,AT_Wind_Offshore,2030,8,7,8,-0.9672
809,AT_Wind_Offshore,2030,8,9,10,-0.9672
810,AT_Wind_Offshore,2030,8,11,12,-0.9672
811,AT_Wind_Offshore,2030,8,13,14,-0.9672
812,AT_Wind_Offshore,2030,8,15,16,-0.9672
813,AT_Wind_Offshore,2030,8,17,18,-0.9672
814,AT_Wind_Offshore,2030,8,19,20,-0.9672
815,AT_Wind_Offshore,2030,8,21,22,-0.7227999999999999
816,AT_Wind_Offshore,2030,8,23,24,0.0
817,AT_Wind_Offshore,2030,9,1,2,0.0
818,AT_Wind_Offshore,2030,9,3,4,0.0
819,AT_Wind_Offshore,2030,9,5,6,0.0
820,AT_Wind_Offshore,2030,9,7,8,-1.3416000000000001
821,AT_Wind_Offshore,2030,9,9,10,-6.247565705666339
