id,asset,year,rep_period,time_block_start,time_block_end,dual_max_output_flows_limit_simple_method
490,AT_Coal,2030,1,10,10,-0.8109000000000001
491,AT_Coal,2030,1,11,11,-0.8109000000000001
492,AT_Coal,2030,1,12,12,-0.8109000000000001
493,AT_Coal,2030,1,13,13,-0.8109000000000001
494,AT_Coal,2030,1,14,14,0.0
495,AT_Coal,2030,1,15,15,0.0
496,AT_Coal,2030,1,16,16,0.0
497,AT_Coal,2030,1,17,17,-0.8109000000000001
498,AT_Coal,2030,1,18,18,-0.8109000000000001
499,AT_Coal,2030,1,19,19,-0.8109000000000001
500,AT_Coal,2030,1,20,20,-0.8109000000000001
501,AT_Coal,2030,1,21,21,0.0
502,AT_Coal,2030,1,22,22,0.0
503,AT_Coal,2030,1,23,23,0.0
504,AT_Coal,2030,1,24,24,0.0
505,AT_Coal,2030,2,1,1,0.0
506,AT_Coal,2030,2,2,2,0.0
507,AT_Coal,2030,2,3,3,0.0
508,AT_Coal,2030,2,4,4,0.0
509,AT_Coal,2030,2,5,5,0.0
510,AT_Coal,2030,2,6,6,0.0
511,AT_Coal,2030,2,7,7,0.0
512,AT_Coal,2030,2,8,8,0.0
513,AT_Coal,2030,2,9,9,0.0
514,AT_Coal,2030,2,10,10,0.0
515,AT_Coal,2030,2,11,11,0.0
516,AT_Coal,2030,2,12,12,0.0
517,AT_Coal,2030,2,13,13,0.0
518,AT_Coal,2030,2,14,14,0.0
519,AT_Coal,2030,2,15,15,0.0
520,AT_Coal,2030,2,16,16,0.0
521,AT_Coal,2030,2,17,17,0.0
522,AT_Coal,2030,2,18,18,0.0
523,AT_Coal,2030,2,19,19,0.0
524,AT_Coal,2030,2,20,20,0.0
525,AT_Coal,2030,2,21,21,0.0
526,AT_Coal,2030,2,22,22,0.0
527,AT_Coal,2030,2,23,23,0.0
528,AT_Coal,2030,2,24,24,0.0
529,AT_Coal,2030,3,1,1,0.0
530,AT_Coal,2030,3,2,2,0.0
531,AT_Coal,2030,3,3,3,0.0
532,AT_Coal,2030,3,4,4,0.0
533,AT_Coal,2030,3,5,5,0.0
534,AT_Coal,2030,3,6,6,0.0
535,AT_Coal,2030,3,7,7,-0.4437000000000001
536,AT_Coal,2030,3,8,8,-0.4437000000000001
537,AT_Coal,2030,3,9,9,-0.4437000000000001
538,AT_Coal,2030,3,10,10,-0.4437000000000001
539,AT_Coal,2030,3,11,11,0.0
