id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_storage_rep_period,dual_max_storage_level_rep_period_limit,dual_min_storage_level_rep_period_limit
113,BE_Battery,2030,9,17,20,-0.7611000000000001,0.0,0.0
114,BE_Battery,2030,9,21,24,-0.7611,0.0,0.0
115,BE_Battery,2030,10,1,4,-0.8142,-1.0557,0.0
116,BE_Battery,2030,10,5,8,-1.8699000000000001,-0.9382414264165837,0.0
117,BE_Battery,2030,10,9,12,-2.808141426416584,0.0,0.0
118,BE_Battery,2030,10,13,16,-1.518,-2.970091426416582,0.0
119,BE_Battery,2030,10,17,20,-4.488091426416582,0.0,0.0
120,BE_Battery,2030,10,21,24,-0.8142,0.0,0.0
121,CH_Battery,2030,1,1,4,-0.9381,-0.8108999999999998,0.0
122,CH_Battery,2030,1,5,8,-1.7489999999999999,0.0,0.0
123,CH_Battery,2030,1,9,12,-0.9381,0.0,0.0
124,CH_Battery,2030,1,13,16,-0.9381,0.0,0.0
125,CH_Battery,2030,1,17,20,-0.9381,0.0,0.0
126,CH_Battery,2030,1,21,24,-0.9381,0.0,0.0
127,CH_Battery,2030,2,1,4,-0.5841,0.0,0.0
128,CH_Battery,2030,2,5,8,-0.5841,0.0,0.0
129,CH_Battery,2030,2,9,12,-0.5841,0.0,0.0
130,CH_Battery,2030,2,13,16,-0.5841,0.0,0.0
131,CH_Battery,2030,2,17,20,-0.5841,0.0,0.0
132,CH_Battery,2030,2,21,24,-0.5841000000000001,0.0,0.0
133,CH_Battery,2030,3,1,4,-0.5133,0.0,0.0
134,CH_Battery,2030,3,5,8,-0.5133,0.0,0.0
135,CH_Battery,2030,3,9,12,-0.5133,0.0,0.0
136,CH_Battery,2030,3,13,16,-0.5133,-7.331605529249751,0.0
137,CH_Battery,2030,3,17,20,-7.844905529249751,0.0,0.0
138,CH_Battery,2030,3,21,24,-3.9137375000000016,0.0,0.0
139,CH_Battery,2030,4,1,4,-0.4071,0.0,0.0
140,CH_Battery,2030,4,5,8,-0.4071,0.0,0.0
141,CH_Battery,2030,4,9,12,-0.4071,0.0,0.0
142,CH_Battery,2030,4,13,16,-0.4071,0.0,0.0
143,CH_Battery,2030,4,17,20,-0.4071,0.0,0.0
144,CH_Battery,2030,4,21,24,-0.4071,0.0,0.0
145,CH_Battery,2030,5,1,4,-0.9204,0.0,0.0
146,CH_Battery,2030,5,5,8,-0.9204,0.0,0.0
147,CH_Battery,2030,5,9,12,-0.9204,0.0,0.0
148,CH_Battery,2030,5,13,16,-0.9204,0.0,0.0
149,CH_Battery,2030,5,17,20,-0.9204000000000001,0.0,0.0
150,CH_Battery,2030,5,21,24,-0.9204000000000001,0.0,0.0
151,CH_Battery,2030,6,1,4,-0.3186,0.0,0.0
152,CH_Battery,2030,6,5,8,-0.3186,0.0,0.0
153,CH_Battery,2030,6,9,12,-0.3186,0.0,0.0
154,CH_Battery,2030,6,13,16,-0.3186,0.0,0.0
155,CH_Battery,2030,6,17,20,-0.3186,0.0,0.0
156,CH_Battery,2030,6,21,24,-0.3186,0.0,0.0
157,CH_Battery,2030,7,1,4,-1.0922874999999994,-0.193068750000001,0.0
158,CH_Battery,2030,7,5,8,-1.2853562500000004,0.0,0.0
159,CH_Battery,2030,7,9,12,-0.6549,0.0,0.0
160,CH_Battery,2030,7,13,16,-0.6549,-0.8491500000000001,0.0
161,CH_Battery,2030,7,17,20,-1.50405,0.0,0.0
162,CH_Battery,2030,7,21,24,-1.50405,0.0,0.0
163,CH_Battery,2030,8,1,4,-0.5487,0.0,0.0
164,CH_Battery,2030,8,5,8,-0.5487000000000001,0.0,0.0
165,CH_Battery,2030,8,9,12,-0.062,0.0,0.0
166,CH_Battery,2030,8,13,16,-0.062,-0.4867000000000001,0.0
167,CH_Battery,2030,8,17,20,-0.5487000000000001,0.0,0.0
168,CH_Battery,2030,8,21,24,-0.5487000000000001,0.0,0.0
169,CH_Battery,2030,9,1,4,-0.7611,0.0,0.0
170,CH_Battery,2030,9,5,8,-0.7611,0.0,0.0
171,CH_Battery,2030,9,9,12,-0.08600000000000001,0.0,0.0
172,CH_Battery,2030,9,13,16,-0.08600000000000001,-0.6751,0.0
173,CH_Battery,2030,9,17,20,-0.7611,0.0,0.0
174,CH_Battery,2030,9,21,24,-0.7611,0.0,0.0
175,CH_Battery,2030,10,1,4,-0.8142,-1.9939414264165838,0.0
176,CH_Battery,2030,10,5,8,-2.808141426416584,0.0,0.0
177,CH_Battery,2030,10,9,12,-2.808141426416584,0.0,0.0
178,CH_Battery,2030,10,13,16,-0.8142,-1.0557,0.0
179,CH_Battery,2030,10,17,20,-1.8699000000000001,0.0,0.0
180,CH_Battery,2030,10,21,24,-0.8142,0.0,0.0
181,DE_Battery,2030,1,1,4,-0.9381,-0.8108999999999998,0.0
182,DE_Battery,2030,1,5,8,-1.7489999999999999,0.0,0.0
183,DE_Battery,2030,1,9,12,-1.7489999999999999,0.0,0.0
184,DE_Battery,2030,1,13,16,-0.9381,-1.1102230246251565e-16,0.0
185,DE_Battery,2030,1,17,20,-0.9381000000000002,0.0,0.0
186,DE_Battery,2030,1,21,24,-0.9381,0.0,0.0
187,DE_Battery,2030,2,1,4,-0.5840999999999998,-2.220446049250313e-16,0.0
188,DE_Battery,2030,2,5,8,-0.5841000000000001,0.0,0.0
189,DE_Battery,2030,2,9,12,-0.5841,0.0,0.0
190,DE_Battery,2030,2,13,16,-0.5841,0.0,0.0
191,DE_Battery,2030,2,17,20,-0.5841000000000001,0.0,0.0
192,DE_Battery,2030,2,21,24,-0.5841,0.0,0.0
193,DE_Battery,2030,3,1,4,-0.058,0.0,0.0
194,DE_Battery,2030,3,5,8,-0.05800000000000001,1.3877787807814457e-17,0.0
195,DE_Battery,2030,3,9,12,-0.057999999999999996,0.0,0.0
196,DE_Battery,2030,3,13,16,-0.058,-0.6829499999999998,0.0
197,DE_Battery,2030,3,17,20,-0.7409499999999999,0.0,0.0
198,DE_Battery,2030,3,21,24,-0.058,0.0,0.0
199,DE_Battery,2030,4,1,4,-0.4071,0.0,0.0
200,DE_Battery,2030,4,5,8,-0.4071,0.0,0.0
201,DE_Battery,2030,4,9,12,-0.4071,0.0,0.0
202,DE_Battery,2030,4,13,16,-0.4071,0.0,0.0
203,DE_Battery,2030,4,17,20,-0.4071,0.0,0.0
204,DE_Battery,2030,4,21,24,-0.4071,0.0,0.0
205,DE_Battery,2030,5,1,4,-0.104,-1.3877787807814457e-17,0.0
206,DE_Battery,2030,5,5,8,-0.10400000000000001,0.0,0.0
207,DE_Battery,2030,5,9,12,-0.104,0.0,0.0
208,DE_Battery,2030,5,13,16,-0.104,0.0,0.0
209,DE_Battery,2030,5,17,20,-0.10400000000000001,0.0,0.0
210,DE_Battery,2030,5,21,24,-0.104,0.0,0.0
211,DE_Battery,2030,6,1,4,-0.3186,0.0,0.0
212,DE_Battery,2030,6,5,8,-0.3186,0.0,0.0
213,DE_Battery,2030,6,9,12,-0.3186,0.0,0.0
214,DE_Battery,2030,6,13,16,-0.3186,0.0,0.0
215,DE_Battery,2030,6,17,20,-0.3186,0.0,0.0
216,DE_Battery,2030,6,21,24,-0.3186,0.0,0.0
217,DE_Battery,2030,7,1,4,-0.6549,-0.8491500000000001,0.0
218,DE_Battery,2030,7,5,8,-1.50405,0.0,0.0
219,DE_Battery,2030,7,9,12,-1.221,0.0,0.0
220,DE_Battery,2030,7,13,16,-0.6549,-3.6690328528331695,0.0
221,DE_Battery,2030,7,17,20,-4.3239328528331695,0.0,0.0
222,DE_Battery,2030,7,21,24,-0.6549,0.0,0.0
223,DE_Battery,2030,8,1,4,-0.062,0.0,0.0
224,DE_Battery,2030,8,5,8,-0.062,0.0,0.0
225,DE_Battery,2030,8,9,12,-0.062,0.0,0.0
226,DE_Battery,2030,8,13,16,-0.062,0.0,0.0
227,DE_Battery,2030,8,17,20,-0.062,0.0,0.0
228,DE_Battery,2030,8,21,24,-0.062,0.0,0.0
229,DE_Battery,2030,9,1,4,-0.08600000000000001,1.3877787807814457e-17,0.0
230,DE_Battery,2030,9,5,8,-0.086,-1.3877787807814457e-17,0.0
231,DE_Battery,2030,9,9,12,-0.08600000000000001,0.0,0.0
232,DE_Battery,2030,9,13,16,-0.086,-0.6751,0.0
233,DE_Battery,2030,9,17,20,-0.7611,0.0,0.0
234,DE_Battery,2030,9,21,24,-0.7611,0.0,0.0
235,DE_Battery,2030,10,1,4,-0.8142,-1.9939414264165842,0.0
236,DE_Battery,2030,10,5,8,-2.8081414264165843,0.0,0.0
237,DE_Battery,2030,10,9,12,-2.808141426416584,0.0,0.0
238,DE_Battery,2030,10,13,16,-1.518,-4.715091426416582,0.0
239,DE_Battery,2030,10,17,20,-6.233091426416582,0.0,0.0
240,DE_Battery,2030,10,21,24,-0.8142,0.0,0.0
241,FR_Battery,2030,1,1,4,-0.9381,-0.8108999999999998,0.0
242,FR_Battery,2030,1,5,8,-1.7489999999999999,-0.954,0.0
243,FR_Battery,2030,1,9,12,-2.703,0.0,0.0
244,FR_Battery,2030,1,13,16,-0.9381,0.0,0.0
245,FR_Battery,2030,1,17,20,-0.9381,-2.4327,0.0
246,FR_Battery,2030,1,21,24,-3.3708,0.0,0.0
247,FR_Battery,2030,2,1,4,-0.066,0.0,0.0
248,FR_Battery,2030,2,5,8,-0.066,0.0,0.0
249,FR_Battery,2030,2,9,12,-0.066,0.0,0.0
250,FR_Battery,2030,2,13,16,-0.066,-0.5181,0.0
251,FR_Battery,2030,2,17,20,-0.5841,-1.1102230246251565e-16,0.0
252,FR_Battery,2030,2,21,24,-0.5841000000000001,0.0,0.0
253,FR_Battery,2030,3,1,4,-0.058,0.0,0.0
254,FR_Battery,2030,3,5,8,-0.05800000000000001,0.0,0.0
255,FR_Battery,2030,3,9,12,-0.058,0.0,0.0
256,FR_Battery,2030,3,13,16,-0.058,-0.4553,0.0
257,FR_Battery,2030,3,17,20,-0.5133,0.0,0.0
258,FR_Battery,2030,3,21,24,-0.5133,0.0,0.0
259,FR_Battery,2030,4,1,4,-0.046,0.0,0.0
260,FR_Battery,2030,4,5,8,-0.046,0.0,0.0
261,FR_Battery,2030,4,9,12,-0.046,0.0,0.0
