id,asset,year,rep_period,time_block_start,time_block_end,dual_max_output_flows_limit_simple_method
2236,DE_Nuclear,2030,10,10,12,-5.878799999999998
2237,DE_Nuclear,2030,10,13,15,-3.3948
2238,DE_Nuclear,2030,10,16,18,-5.878799999999999
2239,DE_Nuclear,2030,10,19,21,-5.878799999999999
2240,DE_Nuclear,2030,10,22,24,-3.3948
2241,DE_OCGT,2030,1,1,3,0.0
2242,DE_OCGT,2030,1,4,6,0.0
2243,DE_OCGT,2030,1,7,9,0.0
2244,DE_OCGT,2030,1,10,12,0.0
2245,DE_OCGT,2030,1,13,15,0.0
2246,DE_OCGT,2030,1,16,18,0.0
2247,DE_OCGT,2030,1,19,21,0.0
2248,DE_OCGT,2030,1,22,24,0.0
2249,DE_OCGT,2030,2,1,3,0.0
2250,DE_OCGT,2030,2,4,6,0.0
2251,DE_OCGT,2030,2,7,9,0.0
2252,DE_OCGT,2030,2,10,12,0.0
2253,DE_OCGT,2030,2,13,15,0.0
2254,DE_OCGT,2030,2,16,18,0.0
2255,DE_OCGT,2030,2,19,21,0.0
2256,DE_OCGT,2030,2,22,24,0.0
2257,DE_OCGT,2030,3,1,3,0.0
2258,DE_OCGT,2030,3,4,6,0.0
2259,DE_OCGT,2030,3,7,9,0.0
2260,DE_OCGT,2030,3,10,12,0.0
2261,DE_OCGT,2030,3,13,15,0.0
2262,DE_OCGT,2030,3,16,18,0.0
2263,DE_OCGT,2030,3,19,21,0.0
2264,DE_OCGT,2030,3,22,24,0.0
2265,DE_OCGT,2030,4,1,3,0.0
2266,DE_OCGT,2030,4,4,6,0.0
2267,DE_OCGT,2030,4,7,9,0.0
2268,DE_OCGT,2030,4,10,12,0.0
2269,DE_OCGT,2030,4,13,15,0.0
2270,DE_OCGT,2030,4,16,18,0.0
2271,DE_OCGT,2030,4,19,21,0.0
2272,DE_OCGT,2030,4,22,24,0.0
2273,DE_OCGT,2030,5,1,3,0.0
2274,DE_OCGT,2030,5,4,6,0.0
2275,DE_OCGT,2030,5,7,9,0.0
2276,DE_OCGT,2030,5,10,12,0.0
2277,DE_OCGT,2030,5,13,15,0.0
2278,DE_OCGT,2030,5,16,18,0.0
2279,DE_OCGT,2030,5,19,21,0.0
2280,DE_OCGT,2030,5,22,24,0.0
2281,DE_OCGT,2030,6,1,3,0.0
2282,DE_OCGT,2030,6,4,6,0.0
2283,DE_OCGT,2030,6,7,9,0.0
2284,DE_OCGT,2030,6,10,12,0.0
2285,DE_OCGT,2030,6,13,15,0.0
2286,DE_OCGT,2030,6,16,18,0.0
2287,DE_OCGT,2030,6,19,21,0.0
2288,DE_OCGT,2030,6,22,24,0.0
2289,DE_OCGT,2030,7,1,3,0.0
2290,DE_OCGT,2030,7,4,6,0.0
2291,DE_OCGT,2030,7,7,9,0.0
2292,DE_OCGT,2030,7,10,12,0.0
2293,DE_OCGT,2030,7,13,15,0.0
2294,DE_OCGT,2030,7,16,18,0.0
2295,DE_OCGT,2030,7,19,21,0.0
2296,DE_OCGT,2030,7,22,24,0.0
2297,DE_OCGT,2030,8,1,3,0.0
2298,DE_OCGT,2030,8,4,6,0.0
2299,DE_OCGT,2030,8,7,9,0.0
2300,DE_OCGT,2030,8,10,12,0.0
2301,DE_OCGT,2030,8,13,15,0.0
2302,DE_OCGT,2030,8,16,18,0.0
2303,DE_OCGT,2030,8,19,21,0.0
2304,DE_OCGT,2030,8,22,24,0.0
2305,DE_OCGT,2030,9,1,3,0.0
2306,DE_OCGT,2030,9,4,6,0.0
2307,DE_OCGT,2030,9,7,9,0.0
2308,DE_OCGT,2030,9,10,12,0.0
2309,DE_OCGT,2030,9,13,15,0.0
2310,DE_OCGT,2030,9,16,18,0.0
2311,DE_OCGT,2030,9,19,21,0.0
2312,DE_OCGT,2030,9,22,24,0.0
2313,DE_OCGT,2030,10,1,3,0.0
2314,DE_OCGT,2030,10,4,6,0.0
2315,DE_OCGT,2030,10,7,9,0.0
2316,DE_OCGT,2030,10,10,12,0.0
2317,DE_OCGT,2030,10,13,15,0.0
2318,DE_OCGT,2030,10,16,18,0.0
2319,DE_OCGT,2030,10,19,21,0.0
2320,DE_OCGT,2030,10,22,24,0.0
2321,DE_Solar,2030,1,1,3,-2.8143000000000002
2322,DE_Solar,2030,1,4,6,-2.8143000000000002
2323,DE_Solar,2030,1,7,9,-5.247
2324,DE_Solar,2030,1,10,12,-5.247
2325,DE_Solar,2030,1,13,15,-2.8143000000000002
2326,DE_Solar,2030,1,16,18,-2.8143000000000002
2327,DE_Solar,2030,1,19,21,-5.247
