id,asset,year,rep_period,time_block_start,time_block_end,dual_max_output_flow_with_basic_unit_commitment
587,BE_OCGT,2030,4,7,9,0.0
588,BE_OCGT,2030,4,10,12,0.0
589,BE_OCGT,2030,4,13,15,0.0
590,BE_OCGT,2030,4,16,18,0.0
591,BE_OCGT,2030,4,19,21,0.0
592,BE_OCGT,2030,4,22,24,0.0
593,BE_OCGT,2030,5,1,3,0.0
594,BE_OCGT,2030,5,4,6,0.0
595,BE_OCGT,2030,5,7,9,0.0
596,BE_OCGT,2030,5,10,12,0.0
597,BE_OCGT,2030,5,13,15,0.0
598,BE_OCGT,2030,5,16,18,0.0
599,BE_OCGT,2030,5,19,21,0.0
600,BE_OCGT,2030,5,22,24,0.0
601,BE_OCGT,2030,6,1,3,0.0
602,BE_OCGT,2030,6,4,6,0.0
