id,from_asset,to_asset,year,rep_period,efficiency,flow_coefficient_in_capacity_constraint,time_block_start,time_block_end,solution
136,DE_Coal,DE_Balance,2030,1,1.0,1.0,22,24,7792.961915013342
137,DE_Nuclear,DE_Balance,2030,1,1.0,1.0,1,3,0.0
138,DE_Nuclear,DE_Balance,2030,1,1.0,1.0,4,6,0.0
139,DE_Nuclear,DE_Balance,2030,1,1.0,1.0,7,9,0.0
140,DE_Nuclear,DE_Balance,2030,1,1.0,1.0,10,12,0.0
141,DE_Nuclear,DE_Balance,2030,1,1.0,1.0,13,15,0.0
142,DE_Nuclear,DE_Balance,2030,1,1.0,1.0,16,18,0.0
143,DE_Nuclear,DE_Balance,2030,1,1.0,1.0,19,21,0.0
144,DE_Nuclear,DE_Balance,2030,1,1.0,1.0,22,24,0.0
145,DE_CCGT,DE_Balance,2030,1,1.0,1.0,1,3,0.0
146,DE_CCGT,DE_Balance,2030,1,1.0,1.0,4,6,0.0
147,DE_CCGT,DE_Balance,2030,1,1.0,1.0,7,9,6147.2952679722175
148,DE_CCGT,DE_Balance,2030,1,1.0,1.0,10,12,0.0
149,DE_CCGT,DE_Balance,2030,1,1.0,1.0,13,15,0.0
150,DE_CCGT,DE_Balance,2030,1,1.0,1.0,16,18,0.0
151,DE_CCGT,DE_Balance,2030,1,1.0,1.0,19,21,6535.045655309209
152,DE_CCGT,DE_Balance,2030,1,1.0,1.0,22,24,0.0
153,DE_OCGT,DE_Balance,2030,1,1.0,1.0,1,3,0.0
154,DE_OCGT,DE_Balance,2030,1,1.0,1.0,4,6,0.0
155,DE_OCGT,DE_Balance,2030,1,1.0,1.0,7,9,0.0
156,DE_OCGT,DE_Balance,2030,1,1.0,1.0,10,12,0.0
157,DE_OCGT,DE_Balance,2030,1,1.0,1.0,13,15,0.0
158,DE_OCGT,DE_Balance,2030,1,1.0,1.0,16,18,0.0
159,DE_OCGT,DE_Balance,2030,1,1.0,1.0,19,21,0.0
160,DE_OCGT,DE_Balance,2030,1,1.0,1.0,22,24,0.0
161,DE_Battery,DE_Balance,2030,1,1.0,1.0,1,3,0.0
162,DE_Battery,DE_Balance,2030,1,1.0,1.0,4,6,0.0
163,DE_Battery,DE_Balance,2030,1,1.0,1.0,7,9,0.0
164,DE_Battery,DE_Balance,2030,1,1.0,1.0,10,12,0.0
165,DE_Battery,DE_Balance,2030,1,1.0,1.0,13,15,0.0
166,DE_Battery,DE_Balance,2030,1,1.0,1.0,16,18,0.0
167,DE_Battery,DE_Balance,2030,1,1.0,1.0,19,21,0.0
168,DE_Battery,DE_Balance,2030,1,1.0,1.0,22,24,0.0
169,DE_Balance,DE_Battery,2030,1,1.0,1.0,1,3,0.0
170,DE_Balance,DE_Battery,2030,1,1.0,1.0,4,6,0.0
171,DE_Balance,DE_Battery,2030,1,1.0,1.0,7,9,0.0
172,DE_Balance,DE_Battery,2030,1,1.0,1.0,10,12,0.0
173,DE_Balance,DE_Battery,2030,1,1.0,1.0,13,15,0.0
174,DE_Balance,DE_Battery,2030,1,1.0,1.0,16,18,0.0
175,DE_Balance,DE_Battery,2030,1,1.0,1.0,19,21,0.0
176,DE_Balance,DE_Battery,2030,1,1.0,1.0,22,24,0.0
177,FR_Solar,FR_Balance,2030,1,1.0,1.0,1,3,0.0
178,FR_Solar,FR_Balance,2030,1,1.0,1.0,4,6,0.1065092332075472
179,FR_Solar,FR_Balance,2030,1,1.0,1.0,7,9,2575.7131666978858
180,FR_Solar,FR_Balance,2030,1,1.0,1.0,10,12,12517.343043632152
181,FR_Solar,FR_Balance,2030,1,1.0,1.0,13,15,16134.083027249433
182,FR_Solar,FR_Balance,2030,1,1.0,1.0,16,18,11413.818268697889
183,FR_Solar,FR_Balance,2030,1,1.0,1.0,19,21,2053.1640010265646
184,FR_Solar,FR_Balance,2030,1,1.0,1.0,22,24,0.0
185,FR_Wind_Onshore,FR_Balance,2030,1,1.0,1.0,1,3,37334.73158614987
186,FR_Wind_Onshore,FR_Balance,2030,1,1.0,1.0,4,6,33498.225969050036
187,FR_Wind_Onshore,FR_Balance,2030,1,1.0,1.0,7,9,29319.222630126114
188,FR_Wind_Onshore,FR_Balance,2030,1,1.0,1.0,10,12,19801.520053514563
189,FR_Wind_Onshore,FR_Balance,2030,1,1.0,1.0,13,15,21495.684951445284
190,FR_Wind_Onshore,FR_Balance,2030,1,1.0,1.0,16,18,27071.234208124974
191,FR_Wind_Onshore,FR_Balance,2030,1,1.0,1.0,19,21,31843.447421273813
192,FR_Wind_Onshore,FR_Balance,2030,1,1.0,1.0,22,24,39893.257588636756
193,FR_Wind_Offshore,FR_Balance,2030,1,1.0,1.0,1,3,0.0
194,FR_Wind_Offshore,FR_Balance,2030,1,1.0,1.0,4,6,0.0
195,FR_Wind_Offshore,FR_Balance,2030,1,1.0,1.0,7,9,0.0
196,FR_Wind_Offshore,FR_Balance,2030,1,1.0,1.0,10,12,0.0
197,FR_Wind_Offshore,FR_Balance,2030,1,1.0,1.0,13,15,0.0
198,FR_Wind_Offshore,FR_Balance,2030,1,1.0,1.0,16,18,0.0
199,FR_Wind_Offshore,FR_Balance,2030,1,1.0,1.0,19,21,0.0
200,FR_Wind_Offshore,FR_Balance,2030,1,1.0,1.0,22,24,0.0
201,FR_Coal,FR_Balance,2030,1,1.0,1.0,1,3,0.0
202,FR_Coal,FR_Balance,2030,1,1.0,1.0,4,6,4944.0
203,FR_Coal,FR_Balance,2030,1,1.0,1.0,7,9,4944.0
204,FR_Coal,FR_Balance,2030,1,1.0,1.0,10,12,4944.0
205,FR_Coal,FR_Balance,2030,1,1.0,1.0,13,15,4944.0
206,FR_Coal,FR_Balance,2030,1,1.0,1.0,16,18,4944.0
207,FR_Coal,FR_Balance,2030,1,1.0,1.0,19,21,4944.0
208,FR_Coal,FR_Balance,2030,1,1.0,1.0,22,24,4944.0
209,FR_Nuclear,FR_Balance,2030,1,1.0,1.0,1,3,0.0
210,FR_Nuclear,FR_Balance,2030,1,1.0,1.0,4,6,0.0
211,FR_Nuclear,FR_Balance,2030,1,1.0,1.0,7,9,0.0
212,FR_Nuclear,FR_Balance,2030,1,1.0,1.0,10,12,0.0
213,FR_Nuclear,FR_Balance,2030,1,1.0,1.0,13,15,0.0
214,FR_Nuclear,FR_Balance,2030,1,1.0,1.0,16,18,0.0
215,FR_Nuclear,FR_Balance,2030,1,1.0,1.0,19,21,0.0
216,FR_Nuclear,FR_Balance,2030,1,1.0,1.0,22,24,0.0
217,FR_CCGT,FR_Balance,2030,1,1.0,1.0,1,3,0.0
218,FR_CCGT,FR_Balance,2030,1,1.0,1.0,4,6,0.0
219,FR_CCGT,FR_Balance,2030,1,1.0,1.0,7,9,5355.0
220,FR_CCGT,FR_Balance,2030,1,1.0,1.0,10,12,5355.0
221,FR_CCGT,FR_Balance,2030,1,1.0,1.0,13,15,1861.9426251141795
222,FR_CCGT,FR_Balance,2030,1,1.0,1.0,16,18,0.0
223,FR_CCGT,FR_Balance,2030,1,1.0,1.0,19,21,5325.99893325265
224,FR_CCGT,FR_Balance,2030,1,1.0,1.0,22,24,5355.0
225,FR_OCGT,FR_Balance,2030,1,1.0,1.0,1,3,0.0
226,FR_OCGT,FR_Balance,2030,1,1.0,1.0,4,6,0.0
227,FR_OCGT,FR_Balance,2030,1,1.0,1.0,7,9,0.0
228,FR_OCGT,FR_Balance,2030,1,1.0,1.0,10,12,2269.4016010054966
229,FR_OCGT,FR_Balance,2030,1,1.0,1.0,13,15,0.0
230,FR_OCGT,FR_Balance,2030,1,1.0,1.0,16,18,0.0
231,FR_OCGT,FR_Balance,2030,1,1.0,1.0,19,21,0.0
232,FR_OCGT,FR_Balance,2030,1,1.0,1.0,22,24,0.0
233,FR_Battery,FR_Balance,2030,1,1.0,1.0,1,3,0.0
234,FR_Battery,FR_Balance,2030,1,1.0,1.0,4,6,0.0
235,FR_Battery,FR_Balance,2030,1,1.0,1.0,7,9,0.0
236,FR_Battery,FR_Balance,2030,1,1.0,1.0,10,12,94.48155688722181
237,FR_Battery,FR_Balance,2030,1,1.0,1.0,13,15,0.0
238,FR_Battery,FR_Balance,2030,1,1.0,1.0,16,18,0.0
239,FR_Battery,FR_Balance,2030,1,1.0,1.0,19,21,41.63080266035104
240,FR_Battery,FR_Balance,2030,1,1.0,1.0,22,24,52.85075422687078
241,FR_Balance,FR_Battery,2030,1,1.0,1.0,1,3,94.48155688722181
242,FR_Balance,FR_Battery,2030,1,1.0,1.0,4,6,0.0
243,FR_Balance,FR_Battery,2030,1,1.0,1.0,7,9,0.0
244,FR_Balance,FR_Battery,2030,1,1.0,1.0,10,12,0.0
245,FR_Balance,FR_Battery,2030,1,1.0,1.0,13,15,0.0
246,FR_Balance,FR_Battery,2030,1,1.0,1.0,16,18,94.48155688722181
247,FR_Balance,FR_Battery,2030,1,1.0,1.0,19,21,0.0
248,FR_Balance,FR_Battery,2030,1,1.0,1.0,22,24,0.0
249,LU_Balance,LU_E_Demand,2030,1,1.0,1.0,1,3,520.903095792
250,LU_Balance,LU_E_Demand,2030,1,1.0,1.0,4,6,526.1110771040001
251,LU_Balance,LU_E_Demand,2030,1,1.0,1.0,7,9,624.1609047439999
252,LU_Balance,LU_E_Demand,2030,1,1.0,1.0,10,12,679.4803818480001
253,LU_Balance,LU_E_Demand,2030,1,1.0,1.0,13,15,672.6842416
254,LU_Balance,LU_E_Demand,2030,1,1.0,1.0,16,18,657.3596716320001
255,LU_Balance,LU_E_Demand,2030,1,1.0,1.0,19,21,627.8978510239999
256,LU_Balance,LU_E_Demand,2030,1,1.0,1.0,22,24,552.563864816
257,LU_Wind_Offshore,LU_Balance,2030,1,1.0,1.0,1,3,0.0
258,LU_Wind_Offshore,LU_Balance,2030,1,1.0,1.0,4,6,0.0
259,LU_Wind_Offshore,LU_Balance,2030,1,1.0,1.0,7,9,0.0
260,LU_Wind_Offshore,LU_Balance,2030,1,1.0,1.0,10,12,0.0
261,LU_Wind_Offshore,LU_Balance,2030,1,1.0,1.0,13,15,0.0
262,LU_Wind_Offshore,LU_Balance,2030,1,1.0,1.0,16,18,0.0
263,LU_Wind_Offshore,LU_Balance,2030,1,1.0,1.0,19,21,0.0
264,LU_Wind_Offshore,LU_Balance,2030,1,1.0,1.0,22,24,0.0
265,LU_Coal,LU_Balance,2030,1,1.0,1.0,1,3,0.0
266,LU_Coal,LU_Balance,2030,1,1.0,1.0,4,6,0.0
267,LU_Coal,LU_Balance,2030,1,1.0,1.0,7,9,0.0
268,LU_Coal,LU_Balance,2030,1,1.0,1.0,10,12,0.0
269,LU_Coal,LU_Balance,2030,1,1.0,1.0,13,15,0.0
270,LU_Coal,LU_Balance,2030,1,1.0,1.0,16,18,0.0
271,LU_Coal,LU_Balance,2030,1,1.0,1.0,19,21,0.0
272,LU_Coal,LU_Balance,2030,1,1.0,1.0,22,24,0.0
273,LU_Nuclear,LU_Balance,2030,1,1.0,1.0,1,3,0.0
274,LU_Nuclear,LU_Balance,2030,1,1.0,1.0,4,6,0.0
275,LU_Nuclear,LU_Balance,2030,1,1.0,1.0,7,9,0.0
276,LU_Nuclear,LU_Balance,2030,1,1.0,1.0,10,12,0.0
277,LU_Nuclear,LU_Balance,2030,1,1.0,1.0,13,15,0.0
278,LU_Nuclear,LU_Balance,2030,1,1.0,1.0,16,18,0.0
279,LU_Nuclear,LU_Balance,2030,1,1.0,1.0,19,21,0.0
280,LU_Nuclear,LU_Balance,2030,1,1.0,1.0,22,24,0.0
281,LU_CCGT,LU_Balance,2030,1,1.0,1.0,1,3,0.0
282,LU_CCGT,LU_Balance,2030,1,1.0,1.0,4,6,0.0
283,LU_CCGT,LU_Balance,2030,1,1.0,1.0,7,9,0.0
284,LU_CCGT,LU_Balance,2030,1,1.0,1.0,10,12,0.0
285,LU_CCGT,LU_Balance,2030,1,1.0,1.0,13,15,0.0
286,LU_CCGT,LU_Balance,2030,1,1.0,1.0,16,18,0.0
287,LU_CCGT,LU_Balance,2030,1,1.0,1.0,19,21,0.0
288,LU_CCGT,LU_Balance,2030,1,1.0,1.0,22,24,0.0
289,LU_Battery,LU_Balance,2030,1,1.0,1.0,1,3,0.0
290,LU_Battery,LU_Balance,2030,1,1.0,1.0,4,6,0.0
291,LU_Battery,LU_Balance,2030,1,1.0,1.0,7,9,0.0
292,LU_Battery,LU_Balance,2030,1,1.0,1.0,10,12,0.0
293,LU_Battery,LU_Balance,2030,1,1.0,1.0,13,15,0.0
294,LU_Battery,LU_Balance,2030,1,1.0,1.0,16,18,0.0
295,LU_Battery,LU_Balance,2030,1,1.0,1.0,19,21,0.0
296,LU_Battery,LU_Balance,2030,1,1.0,1.0,22,24,0.0
297,LU_Balance,LU_Battery,2030,1,1.0,1.0,1,3,0.0
298,LU_Balance,LU_Battery,2030,1,1.0,1.0,4,6,0.0
299,LU_Balance,LU_Battery,2030,1,1.0,1.0,7,9,0.0
300,LU_Balance,LU_Battery,2030,1,1.0,1.0,10,12,0.0
301,LU_Balance,LU_Battery,2030,1,1.0,1.0,13,15,0.0
302,LU_Balance,LU_Battery,2030,1,1.0,1.0,16,18,0.0
303,LU_Balance,LU_Battery,2030,1,1.0,1.0,19,21,0.0
304,LU_Balance,LU_Battery,2030,1,1.0,1.0,22,24,0.0
305,CH_Solar,CH_Balance,2030,1,1.0,1.0,1,3,0.0
306,CH_Solar,CH_Balance,2030,1,1.0,1.0,4,6,1.199935311622634
307,CH_Solar,CH_Balance,2030,1,1.0,1.0,7,9,1642.2954136488677
308,CH_Solar,CH_Balance,2030,1,1.0,1.0,10,12,6106.15925205928
309,CH_Solar,CH_Balance,2030,1,1.0,1.0,13,15,7144.94441412951
310,CH_Solar,CH_Balance,2030,1,1.0,1.0,16,18,4582.7318204307185
311,CH_Solar,CH_Balance,2030,1,1.0,1.0,19,21,619.6158080375087
312,CH_Solar,CH_Balance,2030,1,1.0,1.0,22,24,0.0
313,CH_Wind_Onshore,CH_Balance,2030,1,1.0,1.0,1,3,0.0
314,CH_Wind_Onshore,CH_Balance,2030,1,1.0,1.0,4,6,0.0
315,CH_Wind_Onshore,CH_Balance,2030,1,1.0,1.0,7,9,0.0
316,CH_Wind_Onshore,CH_Balance,2030,1,1.0,1.0,10,12,0.0
317,CH_Wind_Onshore,CH_Balance,2030,1,1.0,1.0,13,15,0.0
318,CH_Wind_Onshore,CH_Balance,2030,1,1.0,1.0,16,18,0.0
319,CH_Wind_Onshore,CH_Balance,2030,1,1.0,1.0,19,21,0.0
320,CH_Wind_Onshore,CH_Balance,2030,1,1.0,1.0,22,24,0.0
321,CH_Wind_Offshore,CH_Balance,2030,1,1.0,1.0,1,3,0.0
322,CH_Wind_Offshore,CH_Balance,2030,1,1.0,1.0,4,6,0.0
323,CH_Wind_Offshore,CH_Balance,2030,1,1.0,1.0,7,9,0.0
324,CH_Wind_Offshore,CH_Balance,2030,1,1.0,1.0,10,12,0.0
325,CH_Wind_Offshore,CH_Balance,2030,1,1.0,1.0,13,15,0.0
326,CH_Wind_Offshore,CH_Balance,2030,1,1.0,1.0,16,18,0.0
327,CH_Wind_Offshore,CH_Balance,2030,1,1.0,1.0,19,21,0.0
328,CH_Wind_Offshore,CH_Balance,2030,1,1.0,1.0,22,24,0.0
329,CH_Coal,CH_Balance,2030,1,1.0,1.0,1,3,4944.0
330,CH_Coal,CH_Balance,2030,1,1.0,1.0,4,6,4313.039899565887
331,CH_Coal,CH_Balance,2030,1,1.0,1.0,7,9,4944.0
332,CH_Coal,CH_Balance,2030,1,1.0,1.0,10,12,3311.3707706254536
333,CH_Coal,CH_Balance,2030,1,1.0,1.0,13,15,0.0
334,CH_Coal,CH_Balance,2030,1,1.0,1.0,16,18,2959.0510876468943
335,CH_Coal,CH_Balance,2030,1,1.0,1.0,19,21,4944.0
336,CH_Coal,CH_Balance,2030,1,1.0,1.0,22,24,4944.0
337,CH_Nuclear,CH_Balance,2030,1,1.0,1.0,1,3,0.0
338,CH_Nuclear,CH_Balance,2030,1,1.0,1.0,4,6,0.0
339,CH_Nuclear,CH_Balance,2030,1,1.0,1.0,7,9,0.0
340,CH_Nuclear,CH_Balance,2030,1,1.0,1.0,10,12,0.0
341,CH_Nuclear,CH_Balance,2030,1,1.0,1.0,13,15,0.0
342,CH_Nuclear,CH_Balance,2030,1,1.0,1.0,16,18,0.0
343,CH_Nuclear,CH_Balance,2030,1,1.0,1.0,19,21,0.0
344,CH_Nuclear,CH_Balance,2030,1,1.0,1.0,22,24,0.0
345,CH_CCGT,CH_Balance,2030,1,1.0,1.0,1,3,0.0
346,CH_CCGT,CH_Balance,2030,1,1.0,1.0,4,6,0.0
347,CH_CCGT,CH_Balance,2030,1,1.0,1.0,7,9,0.0
348,CH_CCGT,CH_Balance,2030,1,1.0,1.0,10,12,0.0
