id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_consumer
101,BE_E_Demand,2030,7,17,20,40.703628528331684
102,BE_E_Demand,2030,7,21,24,4.884
103,BE_E_Demand,2030,8,1,4,0.248
104,BE_E_Demand,2030,8,5,8,0.248
105,BE_E_Demand,2030,8,9,12,0.248
106,BE_E_Demand,2030,8,13,16,0.248
107,BE_E_Demand,2030,8,17,20,0.248
108,BE_E_Demand,2030,8,21,24,0.248
109,BE_E_Demand,2030,9,1,4,0.34400000000000003
110,BE_E_Demand,2030,9,5,8,0.34400000000000003
111,BE_E_Demand,2030,9,9,12,0.34400000000000003
112,BE_E_Demand,2030,9,13,16,0.34400000000000003
113,BE_E_Demand,2030,9,17,20,3.0444
114,BE_E_Demand,2030,9,21,24,3.0444
115,BE_E_Demand,2030,10,1,4,3.2568
116,BE_E_Demand,2030,10,5,8,6.072
117,BE_E_Demand,2030,10,9,12,6.072
118,BE_E_Demand,2030,10,13,16,6.072
119,BE_E_Demand,2030,10,17,20,9.383999999999999
120,BE_E_Demand,2030,10,21,24,6.072
121,CH_E_Demand,2030,1,1,4,3.7524
122,CH_E_Demand,2030,1,5,8,6.996
123,CH_E_Demand,2030,1,9,12,3.7524
124,CH_E_Demand,2030,1,13,16,3.7524
125,CH_E_Demand,2030,1,17,20,6.996
126,CH_E_Demand,2030,1,21,24,3.7524
127,CH_E_Demand,2030,2,1,4,2.3364000000000003
128,CH_E_Demand,2030,2,5,8,2.3364000000000003
129,CH_E_Demand,2030,2,9,12,2.3364000000000003
130,CH_E_Demand,2030,2,13,16,2.3364000000000003
131,CH_E_Demand,2030,2,17,20,2.3364000000000003
132,CH_E_Demand,2030,2,21,24,2.3364000000000003
133,CH_E_Demand,2030,3,1,4,2.0532
134,CH_E_Demand,2030,3,5,8,3.8280000000000003
135,CH_E_Demand,2030,3,9,12,3.8280000000000003
136,CH_E_Demand,2030,3,13,16,2.0532
137,CH_E_Demand,2030,3,17,20,5.9159999999999995
138,CH_E_Demand,2030,3,21,24,3.8280000000000003
139,CH_E_Demand,2030,4,1,4,1.6284
140,CH_E_Demand,2030,4,5,8,3.036
141,CH_E_Demand,2030,4,9,12,1.6284
142,CH_E_Demand,2030,4,13,16,1.6284
143,CH_E_Demand,2030,4,17,20,1.6284
144,CH_E_Demand,2030,4,21,24,1.6284
145,CH_E_Demand,2030,5,1,4,3.6816
146,CH_E_Demand,2030,5,5,8,3.6816
147,CH_E_Demand,2030,5,9,12,3.6816
